법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2008타경25092 2015타경19958 (중복),11,아파트,서울특별시 성북구 정릉동 508-123 4층403호 [집합건물 철근콘크리트조 68.70㎡],"218,000,000","218,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),12,아파트,서울특별시 성북구 정릉동 508-123 4층404호 [집합건물 철근콘크리트조 68.70㎡],"218,000,000","218,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),13,아파트,서울특별시 성북구 정릉동 508-123 5층501호 [집합건물 철근콘크리트조 69.19㎡],"213,000,000","213,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),14,아파트,서울특별시 성북구 정릉동 508-123 5층502호 [집합건물 철근콘크리트조 72.30㎡],"223,000,000","223,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),15,아파트,서울특별시 성북구 정릉동 508-123 5층503호 [집합건물 철근콘크리트조 69.42㎡],"214,000,000","214,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2020타경107804 2022타경106133 2024타경4880 2025타경103141 (중복),1,임야,서울특별시 종로구 평창동 425-2  [토지 임야 2193㎡],"35,341,107,000","11,580,574,400 (32%)",경매1계 2026.06.30,유찰 5회
