법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2024타경117519 2024타경4620 (중복),1,"연립주택,다세대,빌라",서울특별시 종로구 구기동 36-5  [토지 대 28㎡],"4,487,000,000","2,871,680,000 (64%)",경매8계 2026.07.01,유찰 2회
서울중앙지방법원 2024타경118772 2025타경103039 (중복),1,아파트,"서울특별시 중구 동호로10길 30 110동 3층303호 (신당동,약수하이츠아파트) [집합건물 철근콘크리트 벽식구조 65.37㎡]","1,070,000,000","1,070,000,000 (100%)",경매1계 2026.06.30,신건
서울중앙지방법원 2024타경119027,1,다세대,"서울특별시 서초구 반포대로19길 9-3 3층301호 (서초동,서초클레어) [집합건물 철근콘크리트구조 29.97㎡]","515,000,000","69,122,000 (13%)",경매8계 2026.07.01,유찰 9회
서울중앙지방법원 2024타경119034,1,다세대,"서울특별시 관악구 국회단지7길 11 6층602호 (봉천동,해주빌) [집합건물 철근콘크리트조 23.27㎡]","234,000,000","187,200,000 (80%)",경매9계 2026.06.23,유찰 1회
