법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2024타경124272,4,"연립주택,다세대,빌라","서울특별시 관악구 봉천로 544-9 2층204호 (봉천동,샤로수메이플) [집합건물 철근콘크리트구조 29.23㎡]","466,000,000","190,873,600 (40%)",경매1계 2026.06.30,유찰 4회
서울중앙지방법원 2024타경124272,6,"연립주택,다세대,빌라","서울특별시 관악구 봉천로 544-9 3층303호 (봉천동,샤로수메이플) [집합건물 철근콘크리트구조 29.67㎡]","473,000,000","193,740,800 (40%)",경매1계 2026.06.30,유찰 4회
서울중앙지방법원 2024타경124272,7,"연립주택,다세대,빌라","서울특별시 관악구 봉천로 544-9 4층402호 (봉천동,샤로수메이플) [집합건물 철근콘크리트구조 29.76㎡]","475,000,000","194,560,000 (40%)",경매1계 2026.06.30,유찰 4회
서울중앙지방법원 2024타경124418,1,단독주택다가구,서울특별시 관악구 봉천동 662-119  [토지 대 195㎡],"2,565,337,200","1,641,815,808 (64%)",경매1계 2026.06.30,유찰 2회
서울중앙지방법원2024타경124449,서울특별시 관악구 봉천로19길 27 (봉천동,전은빌) [건물 철근콘크리트구조 (철근)콘크리트지붕 4층 단독주택 및 제2종근린생활시설 지1 85.02㎡ 1층 85.02㎡ 2층 88.2㎡ 3층 88.2㎡ 4층 62.25㎡ 옥탑1층 9.12㎡(연면적제외)]
서울중앙지방법원 2024타경124807,1,다세대,서울특별시 종로구 옥인4길 2-3 지하층1호  [집합건물 철근콘크리트조 46.47㎡],"162,000,000","21,742,000 (13%)",경매9계 2026.06.23,유찰 9회
서울중앙지방법원 2024타경124845,1,"연립주택,다세대,빌라","서울특별시 관악구 신림동5가길 13 7층707호 (신림동,태양오피스텔) [집합건물 철근콘크리트구조 11.5㎡]","205,000,000","22,011,392 (10%)",경매1계 2026.06.30,유찰 10회
서울중앙지방법원 2024타경125008,1,"상가,오피스텔,근린시설","서울특별시 관악구 신림동5가길 13 4층403호 (신림동,태양오피스텔) [집합건물 철근콘크리트구조 18.33㎡]","224,000,000","24,051,712 (10%)",경매1계 2026.06.30,유찰 10회
서울중앙지방법원 2024타경125015,1,다세대,"서울특별시 관악구 법원단지20길 21 1층102호 (신림동,레미안아트빌) [집합건물 철근콘크리트구조 28.15㎡]","242,000,000","25,986,000 (10%)",경매2계 2026.06.25,유찰 10회
