법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2024타경120539 2025타경103523 (병합),8,"연립주택,다세대,빌라","서울특별시 동작구 여의대방로26길 57 3층303호 (대방동,디안) [집합건물 철근콘크리트구조 20.28㎡]","175,000,000","89,600,000 (51%)",경매8계 2026.07.01,유찰 3회
서울중앙지방법원 2024타경120539 2025타경103523 (병합),13,"연립주택,다세대,빌라","서울특별시 동작구 여의대방로26길 57 5층501호 (대방동,디안) [집합건물 철근콘크리트구조 24.09㎡]","258,000,000","105,677,000 (40%)",경매8계 2026.07.01,유찰 4회
서울중앙지방법원 2024타경120935,1,오피스텔,"서울특별시 서초구 서초대로 3-4 17층비1702호 (방배동,방배디오슈페리움1) [집합건물 철근콘크리트구조 29.55㎡]","327,000,000","43,891,000 (13%)",경매2계 2026.06.25,유찰 9회
서울중앙지방법원 2024타경121082,1,다세대,서울특별시 중구 퇴계로73가길 18 10층1004호  [집합건물 철근콘크리트구조 14.54㎡],"275,000,000","29,528,000 (10%)",경매8계 2026.07.01,유찰 10회
서울중앙지방법원 2024타경121570,1,단독주택다가구,서울특별시 관악구 남현동 602-169  [토지 대 231㎡],"3,741,665,840","2,394,666,000 (63%)",경매8계 2026.07.01,유찰 2회
서울중앙지방법원 2024타경121938,서울특별시 관악구 승방3가길 42  [건물 철근콘크리트구조 (철근)콘크리트지붕 5층 단독주택 및 제2종근린생활시설 지1 123.71㎡ 1층 51.21㎡ 2층 128.06㎡ 3층 104.2㎡ 4층 75.16㎡ 5층 62.33㎡ 옥탑1층 41.59㎡(연면적제외)]
서울중앙지방법원 2024타경123828,1,다세대,서울특별시 중구 퇴계로73가길 18 7층703호  [집합건물 철근콘크리트구조 14.54㎡],"278,000,000","37,314,000 (13%)",경매2계 2026.06.25,유찰 9회
서울중앙지방법원 2024타경124272,1,"연립주택,다세대,빌라","서울특별시 관악구 봉천로 544-9 2층201호 (봉천동,샤로수메이플) [집합건물 철근콘크리트구조 29.55㎡]","471,000,000","376,800,000 (80%)",경매1계 2026.06.30,유찰 1회
서울중앙지방법원 2024타경124272,2,"연립주택,다세대,빌라","서울특별시 관악구 봉천로 544-9 2층202호 (봉천동,샤로수메이플) [집합건물 철근콘크리트구조 29.95㎡]","478,000,000","382,400,000 (80%)",경매1계 2026.06.30,유찰 1회
