법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2024타경105196,6,다세대,서울특별시 관악구 낙성대역8길 44-7 7층701호  [집합건물 철근콘크리트구조 29.82㎡],"319,000,000","319,000,000 (100%)",경매12계 2026.07.02,신건
서울중앙지방법원 2024타경105332,1,"상가,오피스텔,근린시설","서울특별시 관악구 행운1길 125 2층202호 (봉천동,시우트리) [집합건물 철근콘크리트구조 16.15㎡]","145,000,000","59,392,000 (40%)",경매8계 2026.07.01,유찰 4회
서울중앙지방법원 2024타경105561,1,다세대,"서울특별시 관악구 남현7길 51 지1층비01호 (남현동,한샘타운) [집합건물 철근콘크리트구조 103.73㎡]","391,000,000","160,153,000 (40%)",경매9계 2026.06.23,유찰 4회
서울중앙지방법원 2024타경105561,5,다세대,"서울특별시 관악구 남현7길 51 4층401호 (남현동,한샘타운) [집합건물 철근콘크리트구조 55.90㎡]","466,000,000","238,592,000 (51%)",경매9계 2026.06.23,유찰 3회
서울중앙지방법원 2024타경106755 2024타경117618 (중복),2,오피스텔,"서울특별시 강남구 자곡로 192 6층605호 (자곡동,강남푸르지오시티2차) [집합건물 철근콘크리트구조 22.444㎡]","161,000,000","21,608,000 (13%)",경매12계 2026.07.02,유찰 9회
서울중앙지방법원 2024타경108058,1,아파트,서울특별시 관악구 신림로 222-8 2층202호  [집합건물 철근콘크리트조 49.30㎡],"282,000,000","12,404,000 (4%)",경매2계 2026.06.25,유찰 14회
서울중앙지방법원 2024타경109389 2024타경48 2025타경103854 (중복) 2024타경4552 (병합),2,다세대,서울특별시 관악구 청림2길 15 2층202호  [집합건물 철근콘크리트조 28.98㎡],"262,000,000","68,681,000 (26%)",경매9계 2026.06.23,유찰 6회
서울중앙지방법원 2024타경109389 2024타경48 2025타경103854 (중복) 2024타경4552 (병합),3,다세대,서울특별시 관악구 청림2길 15 3층301호  [집합건물 철근콘크리트조 27.15㎡],"246,000,000","64,486,000 (26%)",경매9계 2026.06.23,유찰 6회
서울중앙지방법원 2024타경111191,1,다세대,"서울특별시 관악구 법원단지5라길 3 5층502호 (신림동,로얄하이츠) [집합건물 철근콘크리트구조 25.73㎡]","155,000,000","10,650,000 (6%)",경매9계 2026.06.23,유찰 12회
서울중앙지방법원 2024타경117519 2024타경4620 (중복),1,"연립주택,다세대,빌라",서울특별시 종로구 구기동 36-3  [토지 대 499㎡],"4,487,000,000","2,871,680,000 (64%)",경매8계 2026.07.01,유찰 2회
