법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2024타경2877,1,"상가,오피스텔,근린시설",서울특별시 관악구 신림동 1457-6  [토지 대 91.6㎡],"2,563,444,800","2,050,756,000 (80%)",경매12계 2026.07.02,유찰 1회
서울중앙지방법원 2024타경3283,서울특별시 관악구 관천로16길 12 (신림동,더 헤리티지 1457) [건물 철근콘크리트구조 (철근)콘크리트지붕 7층  제2종근린생활시설 및 단독주택 지1 14.48㎡ 1층 14.48㎡ 2층 57.38㎡ 3층 57.38㎡ 4층 57.38㎡ 5층 56.4㎡ 6층 56.4㎡ 7층 56.4㎡ 옥탑1층 49.86㎡(연면적제외)]
서울중앙지방법원 2024타경3887,1,다세대,"서울특별시 동작구 상도로 59 9층921호 (대방동,리안) [집합건물 철근콘크리트구조 15.05㎡]","142,000,000","3,997,000 (2%)",경매8계 2026.07.01,유찰 16회
서울중앙지방법원 2024타경4347,1,"상가,오피스텔,근린시설",서울특별시 중구 남창동 9-15  [토지 대 406.9㎡ 갑구 1000번 조신조 지분 406.9분의 0.4538 전부],"38,368,726","24,556,000 (64%)",경매2계 2026.06.25,유찰 2회
서울중앙지방법원 2024타경5678,서울특별시 중구 남창동 9-15  [건물 철근콘크리트조 평슬래브지붕 10층 판매시설 및 업무시설  1층 393.52㎡  2층 393.52㎡ 3층 393.52㎡  4층 393. 52㎡ 5층 393.52㎡  6층 393. 52㎡ 7층 393.52㎡  8층 393. 52㎡ 9층 393.52㎡  10층 393. 52㎡ 지하실 393. 52㎡  층별용도 1층  327.52㎡ 판매시설  66.0㎡ 계단실 2층  327.52㎡ 판매시설  66.0㎡ 계단실 3층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 4층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 5층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 6층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 7층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 8층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 9층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 10층  308.79㎡ 판매시설  84.73㎡ 계단실 및 화장실 지층  361.45㎡ 판매시설  32.07㎡ 계단실 갑구 970번 조신조 지분 4328.72분의 4.8095 전부]
서울중앙지방법원 2024타경5678,2,근린시설,"서울특별시 중구 을지로45길 62 8층348호 (신당동,누죤빌딩) [집합건물 철골철근콘크리트조 4.962㎡]","27,000,000","5,664,000 (20%)",경매2계 2026.06.25,유찰 7회
서울중앙지방법원 2024타경5852,1,"상가,오피스텔,근린시설","서울특별시 동작구 보라매로5길 43 지1층지106-2호 (신대방동,보라매삼성쉐르빌) [집합건물 철골철근콘크리트구조 577.52㎡]","1,750,000,000","896,000,000 (51%)",경매12계 2026.07.02,유찰 3회
서울중앙지방법원 2024타경6190,1,아파트,"서울특별시 강남구 논현로 205 4동 4층403호 (도곡동,도곡한신아파트) [집합건물 철근콘크리트조 117.57㎡]","2,850,000,000","2,280,000,000 (80%)",경매2계 2026.06.25,유찰 1회
